,Squad,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Succ%,Tkld,Tkld%,Carries,PrgDist,PrgC,1/3,CPA,Mis,Dis,PrgR
1,Arsenal,59.3,38.0,25909,1994,6632,11452,8015,1296,751,351,46.7,290,38.6,15924,44202,824,583,281,526,378,2024
2,Aston Villa,49.3,38.0,21501,2783,7912,9077,4706,746,681,292,42.9,279,41.0,12294,33156,637,434,174,565,371,1227
3,Bournemouth,40.4,38.0,19950,2934,8004,7933,4256,699,735,321,43.7,344,46.8,10336,27419,504,388,144,589,367,986
4,Brentford,43.8,38.0,19750,2632,7290,7802,4835,827,597,264,44.2,248,41.5,10408,23987,392,299,102,520,335,1121
5,Brighton,60.2,38.0,26728,2471,7844,12213,6873,1102,726,345,47.5,279,38.4,16331,43965,809,547,250,558,324,1828
6,Chelsea,58.7,38.0,27166,2564,8461,12057,6850,958,838,380,45.3,352,42.0,16538,43596,829,622,216,568,381,1729
7,Crystal Palace,46.3,38.0,21713,2580,7668,9275,4991,766,784,367,46.8,314,40.1,11687,30015,556,393,206,643,457,1238
8,Everton,42.8,38.0,20233,2527,7219,8417,4830,742,669,305,45.6,296,44.2,10479,27858,500,391,137,605,300,1042
9,Fulham,48.8,38.0,22162,2563,7462,9521,5416,758,599,272,45.4,239,39.9,12250,35319,662,472,124,535,379,1316
10,Leeds United,47.0,38.0,21642,2125,6971,9290,5587,796,688,268,39.0,328,47.7,11342,27062,555,379,146,602,421,1418
11,Leicester City,47.7,38.0,23125,2681,8408,10293,4641,688,620,291,46.9,245,39.5,12503,31619,580,363,175,548,313,1294
12,Liverpool,60.8,38.0,28399,2310,8119,13329,7149,1252,691,320,46.3,282,40.8,17146,41527,719,569,234,584,413,1974
13,Manchester City,64.7,38.0,29895,2170,7410,14372,8301,1277,704,336,47.7,239,33.9,19122,56216,988,754,279,406,298,2054
14,Manchester Utd,53.7,38.0,24848,2639,8093,10389,6570,1036,730,317,43.4,338,46.3,14245,37126,711,515,239,497,293,1578
15,Newcastle Utd,52.3,38.0,22106,2088,6757,9053,6516,1161,783,349,44.6,322,41.1,12021,32968,694,493,227,576,363,1599
16,Nott'ham Forest,37.6,38.0,17912,2715,7420,6953,3755,611,569,254,44.6,235,41.3,8674,24008,435,308,111,537,275,847
17,Southampton,44.5,38.0,21095,2639,7452,8998,4880,712,759,361,47.6,318,41.9,11324,29821,588,453,131,567,400,1112
18,Tottenham,50.0,38.0,23836,2734,8571,10329,5135,842,666,306,45.9,288,43.2,13679,36842,692,465,189,521,356,1436
19,West Ham,42.1,38.0,20410,2362,6898,8703,4993,756,614,249,40.6,266,43.3,10540,28247,615,413,166,458,357,1266
20,Wolves,49.9,38.0,22539,2921,8544,9262,4960,686,772,375,48.6,302,39.1,12373,35065,610,421,142,516,327,1331
